,Name,C_ID,City,State,Longitude,Latitude
0,Abilene Christian University,ABI,Abilene,TX,-99.7475905,32.44645
1,Albion College,ABIN,Albion,MI,-84.7530304,42.243097
2,Adelphi University,ADE,Garden City,NY,-73.6343052,40.7266477
3,United States Air Force Academy,AF,Colorado Springs,CO,-104.825348,38.8339578
4,Agnes Scott College,AGN,Decatur,GA,-84.5740953,30.8736613
5,Augustana College,AGST,Rock Island,IL,-90.5766144,41.4411786
6,"University of Alaska, Fairbanks",AKFB,Fairbanks,AK,-147.716675,64.837845
7,University of Alabama,ALA,Tuscaloosa,AL,-86.859181,33.490251
8,"University at Albany, SUNY",ALB,Albany,NY,-73.754968,42.6511674
9,Alfred University,ALF,Alfred,NY,-77.7906062,42.2542334
10,Allegheny College,ALL,Meadville,PA,-80.151449,41.641445
11,Alma College,ALM,Alma,MI,-84.659727,43.37892
12,American University,AMER,Washington,DC,-77.0365427,38.8950368
13,Amherst College,AMH,Amherst,MA,-72.505714,42.3685658
14,"University of Alaska, Anchorage",ANCH,Anchorage,AK,-149.894852,61.2163129
15,Anderson University (IN),ANDE,Anderson,IN,-85.6802541,40.1053196
16,Andrews University,ANDW,Berrien Springs,MI,-86.3388965,41.9464336
17,Appalachian State University,APP,Boone,NC,-81.6746158,36.2165362
18,"Arizona State University, Tempe",ARIZ,Tempe,AZ,-111.9400091,33.4255056
19,University of Arkansas,ARK,Fayetteville,AR,-94.1574328,36.0625843
20,United States Military Academy,ARMY,West Point,NY,-72.5359869,40.8512481
21,Asbury University,ASBU,Wilmore,KY,-84.6601993,37.8640406
22,Ashland University,ASHL,Ashland,OH,-82.2360391,40.7887367
23,Assumption College,ASS,Worcester,MA,-71.8018877,42.2625621
24,Auburn University,AUBU,Auburn,AL,-86.767638,33.576353
25,Augustana University,AUGU,Sioux Falls,SD,-96.7307737,43.5488256
26,Aurora University,AURO,Aurora,IL,-88.3147539,41.7571701
27,Austin College,AUS,Sherman,TX,-101.8858689,36.2452294
28,University of Arizona,AZ,Tucson,AZ,-110.9748477,32.2228765
29,Azusa Pacific University,AZUS,Azusa,CA,-117.9056046,34.1338751
30,Babson College,BABS,Babson Park,MA,-71.2550501,42.2970161
31,Baldwin Wallace University,BALD,Berea,OH,-81.8543026,41.3661614
32,Ball State University,BALL,Muncie,IN,-85.3865271,40.1936892
33,Bard College,BARD,Annandale-on-Hudson,NY,-73.9081901,42.0128695
34,Bates College,BATE,Lewiston,ME,-70.2147764,44.100351
35,Baylor University,BAY,Waco,TX,-97.114845,31.5520981
36,Bellarmine University,BELL,Louisville,KY,-85.759407,38.2542376
37,Benedictine University,BENE,Lisle,IL,-88.0747687,41.801159
38,Bentley University,BENT,Waltham,MA,-71.2358004,42.3756401
39,Berry College,BER,Mount Berry,GA,-85.1832843,34.275093
40,Berea College,BERE,Berea,KY,-84.2963224,37.568694
41,Berklee College of Music,BERK,Boston,MA,102.215628,3.9494877
42,Bethel University,BETH,Saint Paul,MN,-93.0931028,44.9497487
43,Bowling Green State University,BGSU,Bowling Green,OH,-83.6513229,41.3747744
44,"Binghamton University, SUNY",BING,Binghamton,NY,-75.9125262,42.0987125
45,Biola University,BIOL,La Mirada,CA,-118.0107092,33.9060971
46,Birmingham-Southern College,BIR,Birmingham,AL,-86.765783,33.570499
47,Belmont University,BLMT,Nashville,TN,-86.7742984,36.1622767
48,Bloomsburg University of Pennsylvania,BLOO,Bloomsburg,PA,-76.4537302,41.0044958
49,Beloit College,BLT,Beloit,WI,-89.031784,42.5083272
50,Bennington College,BNNG,Bennington,VT,-73.1473048,43.0125713
51,Boise State University,BOIS,Boise,ID,-116.200886,43.6166163
52,Boston University,BOS,Boston,MA,-71.060511,42.3554334
53,Boston College,BOST,Chestnut Hill,MA,-71.1661647,42.3306529
54,Bowdoin College,BOWD,Brunswick,ME,-69.9653278,43.9145244
55,Bradley University,BRAD,Peoria,IL,-89.5891008,40.6938609
56,Brandeis University,BRDS,Waltham,MA,-71.2358004,42.3756401
57,Barnard College,BRND,New York,NY,-74.0060152,40.7127281
58,Brown University,BRO,Providence,RI,-2.6640439,51.4325529
59,Bryn Mawr College,BRY,Bryn Mawr,PA,-75.31734069,40.0238245
60,Bryant University,BRYA,Smithfield,RI,-1.8219437,52.6860569
61,Bucknell University,BUC,Lewisburg,PA,-76.8847639,40.9645337
62,University at Buffalo (SUNY),BUF,Buffalo,NY,-78.8783922,42.8867166
63,Butler University,BUT,Indianapolis,IN,-86.1583502,39.7683331
64,Brigham Young University,BYU,Provo,UT,-111.6587085,40.2337289
65,Brigham Young University-Idaho,BYUI,Rexburg,ID,-111.7870222,43.8235163
66,"University of California, Berkeley",CAL,Berkeley,CA,-122.2396336,37.8753497
67,"California State University, Chico",CALC,Chico,CA,-121.8374777,39.7284945
68,California Institute of Technology,CALT,Pasadena,CA,-118.1444779,34.1476452
69,Calvin University,CALV,Grand Rapids,MI,-85.6678639,42.9632405
70,Canisius College,CAN,Buffalo,NY,-78.8783922,42.8867166
71,Capital University,CAP,Columbus,OH,-83.0007065,39.9622601
72,Carthage College,CAR,Kenosha,WI,-87.8212263,42.5846773
73,Carroll University,CARR,Waukesha,WI,-88.2314813,43.0116784
74,Carson-Newman University,CARS,Jefferson City,TN,-83.4923961,36.122311
75,California Institute of the Arts,CART,Santa Clarita,CA,116.312791,24.7246055
76,College of the Atlantic,CATL,Bar Harbor,ME,-68.2043361,44.3876378
77,Christian Brothers University,CBRS,Memphis,TN,-89.9668758,35.1335022
78,College of Charleston,CCHN,Charleston,SC,-79.9402728,32.7876012
79,Cornell College (IA),CCIA,Mount Vernon,IA,-91.4171209,41.9222443
80,Central College,CCOL,Pella,IA,-92.9174074,41.4073138
81,Cedarville University,CEDA,Cedarville,OH,-83.8085372,39.7442268
82,Centre College,CEN,Danville,KY,-84.7721823,37.6456488
83,Central Michigan University,CENT,Mount Pleasant,MI,-84.7668495,43.597646
84,"SUNY, College of Environmental Science and Forestry",CESF,Syracuse,NY,-76.1474244,43.0481221
85,"California State University, Fullerton",CFTN,Fullerton,CA,-117.9294165,33.8708215
86,United States Coast Guard Academy,CGRD,New London,CT,-85.9991161,39.9102386
87,Chapman University,CHA,Orange,CA,-117.8704931,33.7500378
88,"University of North Carolina, Charlotte",CHLT,Charlotte,NC,-80.8430827,35.2272086
89,College of Idaho,CID,Caldwell,ID,-116.6894156,43.6678736
90,University of Cincinnati,CIN,Cincinnati,OH,-84.5124602,39.1014537
91,Clarke University,CLAR,Dubuque,IA,-90.6647985,42.5006243
92,Colby College,CLBY,Waterville,ME,-69.6317121,44.5520105
93,Colorado College,CLCL,Colorado Springs,CO,-104.825348,38.8339578
94,University of Colorado Colorado Springs,CLCS,Colorado Springs,CO,-104.825348,38.8339578
95,Clemson University,CLE,Clemson,SC,-82.8364111,34.6850749
96,Cleveland State University,CLEV,Cleveland,OH,-81.6936813,41.4996562
97,Clark University (MA),CLRK,Worcester,MA,-71.8018877,42.2625621
98,California Lutheran University,CLUT,Thousand Oaks,CA,-118.8375937,34.1705609
99,California State University Maritime Academy,CMAR,Vallejo,CA,-122.2566367,38.1040864
100,"University of Missouri, Columbia",CMBA,Columbia,MO,-92.3337366,38.951883
101,Columbia University,CMBU,New York,NY,-74.0060152,40.7127281
102,Claremont McKenna College,CMCK,Claremont,CA,-117.7197785,34.0966764
103,Carnegie Mellon University,CMEL,Pittsburgh,PA,-79.9900861,40.4416941
104,Centenary College of Louisiana,CNLA,Shreveport,LA,-93.7559378,32.4707862
105,Connecticut College,CNNC,New London,CT,-85.9991161,39.9102386
106,Christopher Newport University,CNWP,Newport News,VA,-76.42977,36.9775016
107,Coe College,COE,Cedar Rapids,IA,-91.6704053,41.9758872
108,"University of Colorado, Boulder",COL,Boulder,CO,-105.3632079,40.102555
109,"University of Colorado, Denver",COLD,Denver,CO,-104.984862,39.7392364
