,C_ID,College,Stadium,Capacity
0,ALA,Alabama,Bryant–Denny Stadium,0.9300749993029804
1,AUB,Auburn University-Main Campus,Jordan-Hare Stadium,0.8127340823970037
2,BAY,Baylor University,McLane Stadium,0.4195128298064144
3,FRST,California State University at Fresno,Bulldog Stadium,0.3785001998122694
4,CLST,Colorado State University,Canvas Stadium,0.38103735095398744
5,FLST,Florida State University,Bobby Bowden Field at Doak Campbell Stadium,0.7393983327292497
6,GTCH,Georgia Institute of Technology,Bobby Dodd Stadium,0.5111476659138856
7,HRVD,Harvard University,Harvard Stadium,0.28180964860921365
8,IND,Indiana University at Bloomington,Memorial Stadium,0.48908467393425714
9,KAST,Kansas State University,Bill Snyder Family Football Stadium,0.4646796962853505
10,LSU,Louisiana State University at Baton Rouge,Tiger Stadium,0.950929824072267
11,LATC,Louisiana Tech University,Joe Aillet Stadium,0.2654436297060436
12,MSHL,Marshall University,Joan C. Edwards Stadium,0.3552662149980019
13,MIST,Michigan State University,Spartan Stadium,0.6970660123976543
14,MSST,Mississippi State University,Davis Wade Stadium,0.5700411706210908
15,NCST,North Carolina State University at Raleigh,Carter–Finley Stadium,0.5390284476910066
16,NIU,Northern Illinois University,Huskie Stadium,0.2880828245090659
17,NW,Northwestern University,Ryan Field,0.4380070817185714
18,OKST,Oklahoma State University,Boone Pickens Stadium,0.5158781052220704
19,SMU,Southern Methodist University,Gerald J. Ford Stadium,0.29739500562262433
20,SYR,Syracuse University,Carrier Dome,0.4559158372134088
21,TAMU,Texas A&M Univ. at College Station,Kyle Field,0.9547587847696583
22,TCU,Texas Christian University,Amon G. Carter Stadium,0.41821172665681544
23,TUL,Tulane University,Benson Field at Yulman Stadium,0.27880781777121033
24,ARK,University of Arkansas at Fayetteville,Donald W. Reynolds Razorback Stadium,0.7082833802659827
25,CAL,University of California at Berkeley,California Memorial Stadium,0.5805429317571398
26,UCF,University of Central Florida,FBC Mortgage Stadium,0.41083261307980407
27,CIN,University of Cincinnati,Paycor Stadium,0.6088698060426948
28,CONN,University of Connecticut at Storrs,Pratt & Whitney Stadium at Rentschler Field,0.3968736350033922
29,FL,University of Florida,Ben Hill Griffin Stadium,0.8229291549335044
30,UGA,University of Georgia,Sanford Stadium,0.8619436622336224
31,HAW,University of Hawaii at Manoa,Aloha Stadium,0.4646796962853505
32,UIUC,University of Illinois - Urbana,Memorial Stadium,0.5638423434726443
33,KAN,University of Kansas,David Booth Kansas Memorial Stadium,0.43896432189291923
34,LOU,University of Louisville,Cardinal Stadium,0.5669092294681276
35,MD,University of Maryland at College Park,Capital One Field at Maryland Stadium,0.48142675253947453
36,MASS,University of Massachusetts at Amherst,Gillette Stadium,0.6122433806377264
37,MIA,University of Miami,Hard Rock Stadium,0.6019181977862659
38,MICH,University of Michigan at Ann Arbor,Michigan Stadium,1.0
39,MIN,University of Minnesota Twin Cities,Huntington Bank Stadium,0.47216103939554466
40,MISS,University of Mississippi,Vaught–Hemingway Stadium,0.5951431678144256
41,MIZ,University of Missouri at Columbia,Faurot Field,0.572671257702066
42,NEB,University of Nebraska at Lincoln,Memorial Stadium,0.7942119497030696
43,UNC,University of North Carolina at Chapel Hill,Kenan Memorial Stadium,0.469326493248204
44,NTX,University of North Texas,Apogee Stadium,0.2867073726080613
45,ND,University of Notre Dame,Notre Dame Stadium,0.7213873477012296
46,OKLA,University of Oklahoma,Gaylord Family Oklahoma Memorial Stadium,0.7446585068912
47,ORE,University of Oregon,Autzen Stadium,0.5018540719881786
48,PENN,University of Pennsylvania,Franklin Field,0.4921701471175918
49,PITT,University of Pittsburgh-Main Campus,Heinz Field,0.6356818245183595
