,Name,C_ID,City,State,Net Price,Average Grant Aid,Alumni Salary,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website
0,Abilene Christian University,ABI,Abilene,TX,0.5508144700655807,0.36542428826846374,0.5745891276864729,0.6699346405228758,0.7672955974842768,0.6176470588235294,0.7428571428571429,www.acu.edu
1,Albion College,ABIN,Albion,MI,0.37789295536280937,0.671571998349608,0.6276864728192162,0.6601307189542484,0.7547169811320755,0.5882352941176471,0.7428571428571429,www.albion.edu
2,Adelphi University,ADE,Garden City,NY,0.5991537973344616,0.40130066605104425,0.6093552465233881,0.6928104575163399,0.779874213836478,0.6470588235294118,0.7714285714285715,www.adelphi.edu
3,United States Air Force Academy,AF,Colorado Springs,CO,0.0,0.29625769800971,0.8729456384323641,0.7908496732026143,0.8742138364779874,0.8235294117647058,0.9142857142857143,www.usafa.af.mil
4,Agnes Scott College,AGN,Decatur,GA,0.43063253649248995,0.5710749160068374,0.5284450063211125,0.7009865420394168,0.802503872236876,0.6578954809432553,0.792857314208722,www.agnesscott.edu
5,Augustana College,AGST,Rock Island,IL,0.5234821239686905,0.540935615065721,0.5619469026548672,0.7151351127299402,0.8150293813557538,0.6779123865146599,0.8084294435030317,augustana.edu
6,"University of Alaska, Fairbanks",AKFB,Fairbanks,AK,0.2112968055849376,0.1465115822150618,0.6434892541087232,0.673202614379085,0.7987421383647799,0.5,0.7142857142857143,www.alaska.edu
7,University of Alabama,ALA,Tuscaloosa,AL,0.46484027924687965,0.32406625144900486,0.6156763590391909,0.6862745098039216,0.8050314465408805,0.6764705882352942,0.9142857142857143,www.ua.edu
8,"University at Albany, SUNY",ALB,Albany,NY,0.38275862068965516,0.1787138731162937,0.6428571428571429,0.7058823529411765,0.7924528301886793,0.6470588235294118,0.7428571428571429,www.albany.edu
9,Alfred University,ALF,Alfred,NY,0.4714618151047176,0.40623219443189185,0.5815423514538559,0.6470588235294118,0.7610062893081762,0.6176470588235294,0.7428571428571429,www.alfred.edu
10,Allegheny College,ALL,Meadville,PA,0.4850222128199704,0.6539088747863332,0.5910240202275601,0.7450980392156863,0.8301886792452831,0.6764705882352942,0.8285714285714286,allegheny.edu
11,Alma College,ALM,Alma,MI,0.4619420351174106,0.5595811148004795,0.56826801517067,0.673202614379085,0.7735849056603774,0.5882352941176471,0.7714285714285715,www.alma.edu
12,American University,AMER,Washington,DC,0.7735773217685635,0.5778729591135038,0.6504424778761062,0.7712418300653595,0.8490566037735849,0.7647058823529411,0.8571428571428571,www.american.edu
13,Amherst College,AMH,Amherst,MA,0.475206261899725,0.9719040414955695,0.7364096080910241,0.9150326797385621,0.9811320754716981,0.9411764705882353,0.9714285714285714,https://www.amherst.edu
14,"University of Alaska, Anchorage",ANCH,Anchorage,AK,0.2830124814893167,0.12195217792797218,0.638432364096081,0.6937518419440964,0.7941422505796387,0.6357039839275996,0.773308826472101,www.uaa.alaska.edu
15,Anderson University (IN),ANDE,Anderson,IN,0.5034694309287074,0.34952944181385937,0.4968394437420986,0.5947712418300654,0.6981132075471698,0.5588235294117647,0.7142857142857143,anderson.edu
16,Andrews University,ANDW,Berrien Springs,MI,0.4539877300613497,0.3302552213293514,0.5372945638432364,0.6797385620915033,0.8301886792452831,0.6176470588235294,0.8285714285714286,www.andrews.edu
17,Appalachian State University,APP,Boone,NC,0.28963401734715466,0.1633102147474311,0.52275600505689,0.7189542483660131,0.7987421383647799,0.6764705882352942,0.7714285714285715,www.appstate.edu
18,"Arizona State University, Tempe",ARIZ,Tempe,AZ,0.236154008885128,0.2373617305538637,0.6378002528445006,0.7320261437908496,0.8490566037735849,0.6470588235294118,0.8285714285714286,www.asu.edu
19,University of Arkansas,ARK,Fayetteville,AR,0.3399407658134123,0.13024343281529363,0.6194690265486725,0.7254901960784313,0.8050314465408805,0.6764705882352942,0.8285714285714286,www.uark.edu
20,United States Military Academy,ARMY,West Point,NY,0.0,0.15674718789083364,0.9102402022756005,0.7745098039215687,0.8805031446540881,0.6764705882352942,0.8,www.usma.edu
