,Institution,C_ID,% Fraternity,% Sorority,Fraternity,Sorority
0,Albion College,ABIN,0.35,0.31,1,1
1,SUNY at Albany,ABL,0.03,0.03,0,0
2,Adelphi University,ADE,0.09,0.12,1,1
3,Agnes Scott College,AGN,0,0,0,0
4,Augustana College,AGST,0.12,0.24,0,0
5,Alfred University,ALF,0,0,0,0
6,Allegheny College,ALL,0.21,0.22,1,1
7,Amherst College,AMH,0,0,0,0
8,Appalachian State University,APP,0.08,0.12,1,1
9,Assumption College,ASS,0,0,0,0
10,University of Alabama at Birmingham,AUAB,0.03,0.05,1,1
11,Austin College,AUS,0.29,0.32,0,0
12,Bard College,BARD,0,0,0,0
13,Baylor University,BAY,0.33,0.34,1,1
14,Berry College,BER,0,0,0,0
15,Bowling Green State University,BGSU,0.11,0.06,1,1
16,Belmont University,BLMT,0.15,0.15,1,1
17,Beloit College,BLT,0.14,0.18,1,1
18,Bennington College,BNNG,0,0,0,0
19,Boston University,BOS,0,0.03,1,1
20,Bowdoin College,BOWD,0,0,0,0
21,Bradley University,BRAD,0.04,0.06,1,1
22,Brandeis University,BRDS,0,0,0,0
23,Barnard College,BRND,0,0.2,0,1
24,Brown University,BRO,0.11,0.12,1,1
25,Bryn Mawr College,BRY,0,0,0,0
26,Bucknell University,BUC,0.34,0.38,1,1
27,Butler University,BUT,0.23,0.36,1,1
28,Canisius College,CAN,0.01,0.01,1,1
29,Catholic University of America,CAT,0,0,1,1
30,College of Charleston,CCHN,0.21,0.3,1,1
31,Centre College,CEN,0.51,0.5,0,0
32,Chapman University,CHA,0.2,0.27,0,0
33,University of North Carolina at Charlotte,CHLT,0.07,0.09,1,1
34,University of Cincinnati,CIN,0.1,0.08,1,1
35,Colby College,CLBY,0,0,0,0
36,Colorado College,CLCL,0,0,0,0
37,Clemson University,CLE,0.08,0.17,0,0
38,Clark University,CLRK,0,0,0,0
39,Colorado State University,CLST,0.05,0.06,0,0
40,Columbia University,CMBU,0.14,0.12,0,0
41,Claremont McKenna College,CMCK,0,0,0,0
42,Carnegie Mellon University,CMEL,0.16,0.15,1,1
43,Connecticut College,CNNC,0,0,0,0
44,Christopher Newport University,CNWP,0.23,0.27,0,0
45,Colgate University,COLG,0.21,0.32,1,1
46,Cornell College,COR,0.13,0.35,1,1
47,Creighton University,CRE,0.28,0.43,0,0
48,Clarkson University,CRKS,0.13,0.09,1,1
49,Carleton College,CRL,0,0,0,0
50,College of Saint Benedict,CSBN,0,0,1,1
51,Case Western Reserve University,CWRU,0.18,0.24,1,1
52,University of Dallas,DAL,0,0,0,0
53,Dartmouth College,DAR,0.29,0.33,1,1
54,Davidson College,DAV,0.29,0.51,1,1
55,University of Dayton,DAY,0.12,0.22,1,1
56,University of Delaware,DEL,0.18,0.23,1,1
57,University of Denver,DEN,0.25,0.28,1,1
58,DePauw University,DEP,0.66,0.57,1,1
59,Dickinson College,DICK,0.05,0.23,1,1
60,Denison University,DNSN,0.26,0.42,1,1
61,Drake University,DRA,0.24,0.28,1,1
62,Drew University,DRE,0,0,0,0
63,Duke University,DUK,0.29,0.42,1,1
64,Earlham College,EAR,0,0,0,0
65,East Carolina University,ECAR,0.08,0.12,1,1
66,Eckerd College,ECK,0,0,0,0
67,Eastern Connecticut State University,ECON,0,0,0,0
68,Elizabethtown College,ELI,0,0,0,0
69,Emory University,EMO,0.14,0.13,1,1
70,Fairfield University,FAI,0,0,0,0
71,Florida Institute of Technology,FIT,0.02,0.01,1,1
72,Florida International University,FIU,0.03,0.03,1,1
73,University of Florida,FL,0.14,0.22,1,1
74,Florida Southern College,FLO,0.24,0.26,1,1
75,Florida State University,FLST,0.13,0.22,1,1
76,Fordham University,FRDM,0,0,0,0
77,Furman University,FUR,0.3,0.58,1,1
78,Georgia State University,GAST,0,0,1,1
79,Gettysburg College,GET,0.27,0.34,1,1
80,George Mason University,GMAS,0.04,0.05,1,1
81,SUNY College at Geneseo,GNSO,0.18,0.22,1,1
82,Gonzaga University,GON,0,0,0,0
83,Goucher College,GOU,0,0,0,0
84,Grinnell College,GRI,0,0,0,0
85,Grove City College,GRO,0.4,0.4,1,1
86,Georgia Institute of Technology,GTCH,0.22,0.26,1,1
87,Georgetown College,GTWC,0.25,0.28,1,1
88,Georgetown University,GTWN,0,0,0,0
89,Gustavus Adolphus College,GUS,0.13,0.14,1,1
90,George Washington University,GWAS,0.05,0.09,1,1
91,Hamilton College,HAM,0.09,0.08,1,0
92,Hanover College,HAN,0.37,0.36,1,1
93,Hendrix College,HEN,0,0,0,0
94,Hillsdale College,HIL,0.22,0.33,1,1
