,C_ID,College,Private,Top10perc,Top25perc,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Acceptance_Rate,Enrollment_Rate,Student_Population,Pct_Out_Of_State
0,ABI,Abilene Christian University,1,0.23,0.52,0.40620384047267355,0.19230769230769232,0.3235294117647059,0.7,0.78,0.45477386934673375,0.12,0.1252111749328686,0.6,0.7421686746987952,0.5852272727272727,0.08925869894099848,2.17416715371128
1,ADE,Adelphi University,1,0.16,0.29,0.7939438700147711,0.32051282051282054,0.22058823529411764,0.29,0.3,0.3065326633165829,0.16,0.18720324364696886,0.56,0.8801463860933212,0.2661122661122661,0.10198758412019407,3.1406649616368285
2,ADR,Adrian College,1,0.22,0.5,0.46159527326440175,0.17094017094017094,0.1713235294117647,0.53,0.66,0.3241206030150754,0.3,0.15533583483008198,0.54,0.7682072829131653,0.3062898814949863,0.029605091554071677,9.911894273127754
3,AGN,Agnes Scott College,1,0.6,0.89,0.6708517971442639,0.19230769230769232,0.12867647058823528,0.92,0.97,0.1934673366834171,0.37,0.33816442302562555,0.59,0.8369304556354916,0.39255014326647564,0.014946006573112838,22.61780104712042
4,ALA,Alaska Pacific University,1,0.16,0.44,0.5071393402264894,0.3418803418803419,0.22058823529411764,0.76,0.72,0.2989949748743719,0.02,0.19422758878238758,0.15,0.7564766839378239,0.3767123287671233,0.029161667275288225,6.762075134168158
5,ALB,Albertson College,1,0.38,0.62,0.4105120630231413,0.21367521367521367,0.09926470588235294,0.67,0.73,0.2361809045226131,0.11,0.1729767218537158,0.55,0.8160136286201022,0.3298538622129436,0.01875423861442955,18.776077885952713
6,AMG,Albertus Magnus College,1,0.17,0.45,0.7040866568193008,0.21367521367521367,0.22058823529411764,0.9,0.93,0.2889447236180905,0.26,0.15757651201251935,0.63,0.9631728045325779,0.3029411764705882,0.016850122593771194,20.572755417956657
7,ABIN,Albion College,1,0.37,0.68,0.5940423436730674,0.19230769230769232,0.125,0.89,1.0,0.3442211055276382,0.37,0.20427506979887256,0.73,0.9057398630858347,0.28430232558139534,0.04241222807658198,8.52890528905289
8,ABRT,Albright College,1,0.3,0.63,0.5416051206302314,0.1282051282051282,0.07352941176470588,0.79,0.84,0.2839195979899498,0.23,0.20706702470079846,0.8,0.8082851637764933,0.27056019070321813,0.03336115603317857,12.193119624706803
9,ALD,Alderson-Broaddus College,1,0.21,0.44,0.4160512063023141,0.28205128205128205,0.2647058823529412,0.4,0.41,0.2889447236180905,0.15,0.15988832180392296,0.52,0.8556701030927835,0.3453815261044177,0.022875476029005165,11.936145952109465
10,ALF,Alfred University,1,0.37,0.75,0.6654357459379616,0.21367521367521367,0.08823529411764706,0.82,0.88,0.2839195979899498,0.31,0.19440542030480323,0.73,0.8227482678983834,0.3312280701754386,0.050602535343523394,8.529896907216495
11,ALL,Allegheny College,1,0.44,0.77,0.5465288035450517,0.17094017094017094,0.08823529411764706,0.73,0.91,0.24874371859296485,0.41,0.20825849590098341,0.76,0.7164404223227753,0.25473684210526315,0.045672700714695605,9.754426042261565
12,SFDS,Allentown Coll. of St. Francis de Sales,1,0.38,0.64,0.5889955686853766,0.2564102564102564,0.14705882352941177,0.6,0.84,0.33417085427135684,0.21,0.14119822879803673,0.74,0.6615776081424937,0.3717948717948718,0.04611612499347906,5.480769230769231
13,ALM,Alma College,1,0.44,0.73,0.5603151157065485,0.17094017094017094,0.058823529411764705,0.79,0.87,0.3844221105527639,0.32,0.1654722316077748,0.68,0.8524072612470402,0.35648148148148145,0.03479576399394856,9.424287856071963
14,ALV,Alverno College,1,0.23,0.46,0.448055145248646,0.2777777777777778,0.36014705882352943,0.36,0.69,0.27889447236180903,0.26,0.14452367826720963,0.55,0.6336032388663968,0.5015974440894568,0.06656580937972768,3.272727272727273
