C_ID,Rank,Points
CSDH,1,101
TXPA,2,100
CSLA,3,99
NYLM,4,98
NYCC,5,97
FVST,6,96
DLST,7,95
UTEP,8,94
NYCT,9,93
QNS,10,92
FRST,11,91
AKFS,12,90
NEST,13,89
CSSB,14,88
BKNC,15,87
DAYS,16,86
CFTN,17,85
LSUS,18,84
NYSI,19,83
LAMO,20,82
SNLS,21,81
AANC,22,80
ECAR,23,79
UTBR,24,78
NYHT,25,77
TNMT,26,76
NCAT,27,75
STPC,28,74
NYOW,29,73
LA,30,72
PURN,31,71
INDE,32,70
NWST,33,69
TNST,34,68
TEXD,35,67
CSBK,36,66
AKTC,37,65
BYUI,38,64
LBSU,39,63
AKFB,40,62
WSST,41,61
CSMB,42,60
MSHL,43,59
SHPU,44,58
MGAC,45,57
PVAM,46,56
NOLA,47,55
FRMS,48,54
RIC,49,53
TXWO,50,52
MWST,51,51
NCHL,52,50
SELA,53,49
TNPB,54,48
AKST,55,47
SAC,56,46
CMRN,57,45
WCHT,58,44
NKY,59,43
UTBY,60,42
TCMA,61,41
LATC,62,40
MSSU,63,39
KNTS,64,38
MTSU,65,37
HAW,66,36
CTAK,67,35
UWPK,68,34
UWBT,69,33
MIDB,70,32
UWSE,71,31
UNCG,72,30
NJCU,73,29
UNCP,74,28
NCC,75,27
MWST,76,26
SVST,77,25
ENMU,78,24
MURR,79,23
UALR,80,22
VCNU,81,21
WVU,82,20
INDK,83,19
SDSU,84,18
TAMR,85,17
HOUV,86,16
STAN,87,15
INSE,88,14
APST,89,13
CHST,90,12
WBST,91,11
SWOK,92,10
NOAL,93,9
JKST,94,8
MIFL,95,7
CSNR,96,6
CHLT,97,5
UIS,98,4
SPTC,99,3
MSBO,100,2
