C_ID,Rank,Points
CURT,1,101
HRVD,2,100
STAN,3,99
PRNC,4,98
LOYD,5,97
CALT,6,96
JLRD,7,95
MIT,8,94
UCHI,9,93
YALE,10,92
BRWN,11,91
DUKE,12,90
BDWN,13,89
DART,14,88
JHOP,15,87
NW,16,86
CPP,17,85
SWRT,18,84
ARMY,19,83
NAVY,20,82
PENN,21,81
CLBY,22,80
CORN,23,79
RICE,24,78
TUL,25,77
AMHR,26,76
VBLT,27,75
CPLA,28,74
CLMK,29,73
AF,30,72
CGRD,31,71
SCOK,32,70
BRND,33,69
BATS,34,68
OZRK,35,67
CCOL,36,66
UCLA,37,65
WILY,38,64
WLMS,39,63
FWOC,40,62
TFTS,41,61
MMCAR,42,60
USC,43,59
WUSL,44,58
CMEL,45,57
GTWN,46,56
PTZR,47,55
CPUA,48,54
HMLT,49,53
HMUD,50,52
HVFD,51,51
CALT,52,50
EMRY,53,49
GRNL,54,48
TXWS,55,47
ND,56,46
BU,57,45
DAV,58,44
NE,59,43
WLLS,60,42
CARL,61,41
GTCH,62,40
LBRE,63,39
NYU,64,38
PHSM,65,37
WEBB,66,36
WESL,67,35
KTTR,68,34
MDBR,69,33
UVA,70,32
NYSI,71,31
OTWA,72,30
UNC,73,29
WLEE,74,28
CALA,75,27
CDRM,76,26
VSSR,77,25
ABAP,78,24
BCU,79,23
CCSJ,80,22
PRMC,81,21
MICH,82,20
BABS,83,19
COLG,84,18
RISD,85,17
CCHS,86,16
DNSN,87,15
MSSC,88,14
PNT,89,13
STLU,90,12
NCSA,91,11
CWRU,92,10
GCNU,93,9
PURN,94,8
UCIV,95,7
AACN,96,6
DAVS,97,5
JUFL,98,4
FL,99,3
NOVA,100,2
