,C_ID,Academic_Pts,Athletic_Pts,Exclusive_Pts,Social_Pts,Affordable_Pts,Dynamic_Pt_Total
0,ABI,2.0,0.0,0.0,2.0,0.0,4.0
1,ABIN,2.0,0.0,0.0,2.0,0.0,4.0
2,ABL,2.0,0.0,0.0,2.0,0.0,4.0
3,ABRT,2.0,0.0,0.0,2.0,0.0,4.0
4,ADE,2.0,0.0,0.0,2.0,0.0,4.0
5,ADR,2.0,0.0,0.0,2.0,0.0,4.0
6,AF,2.0,0.0,0.0,2.0,0.0,4.0
7,AGN,2.0,0.0,0.0,2.0,0.0,4.0
8,AGSB,2.0,0.0,0.0,2.0,0.0,4.0
9,AGST,2.0,0.0,0.0,2.0,0.0,4.0
10,AKFB,37.0,0.0,0.0,2.0,0.0,39.0
11,AKR,38.0,0.0,0.0,2.0,0.0,40.0
12,ALA,238.0,0.0,0.0,384.0,0.0,622.0
13,ALB,219.0,0.0,0.0,143.0,0.0,362.0
14,ALD,2.0,0.0,0.0,2.0,0.0,4.0
15,ALF,2.0,0.0,0.0,2.0,0.0,4.0
16,ALL,2.0,0.0,0.0,2.0,0.0,4.0
17,ALM,2.0,0.0,0.0,2.0,0.0,4.0
18,ALV,2.0,0.0,0.0,2.0,0.0,4.0
19,AME,2.0,0.0,0.0,2.0,0.0,4.0
20,AMER,316.0,0.0,0.0,2.0,0.0,318.0
21,AMG,2.0,0.0,0.0,2.0,0.0,4.0
22,AMH,2.0,0.0,0.0,2.0,0.0,4.0
23,ANCH,2.0,0.0,0.0,2.0,0.0,4.0
24,ANDE,2.0,0.0,0.0,2.0,0.0,4.0
25,ANDR,2.0,0.0,0.0,2.0,0.0,4.0
26,ANDW,95.0,0.0,0.0,2.0,0.0,97.0
27,ANG,2.0,0.0,0.0,2.0,0.0,4.0
28,ANT,2.0,0.0,0.0,2.0,0.0,4.0
29,APP,2.0,0.0,0.0,2.0,0.0,4.0
30,AQU,2.0,0.0,0.0,2.0,0.0,4.0
